position COMBINED_rate(cM/Mb) Genetic_Map(cM)
40910 5.327 0.0
46431 3.622 0.029409
46587 3.649 0.029974
47123 3.654 0.03193
48515 1.849 0.037016
50568 1.535 0.040813
57327 1.537 0.05119
58265 1.522 0.052632
78775 1.522 0.083842
120676 0.178 0.147601
150524 0.178 0.152914
158310 0.1829 0.1543
158474 0.1783 0.15433
172401 0.18 0.156813
186603 0.191 0.15937
190965 0.1916 0.160203
192129 0.2067 0.160426
193813 0.2068 0.160774
200971 0.4077 0.162254
201388 0.6098 0.162424
203310 0.731 0.163596
203481 0.7817 0.163721
203623 0.7907 0.163832
204201 0.8028 0.164289
204485 1.17 0.164517
204738 1.179 0.164813
204850 1.196 0.164945
205764 1.092 0.166038
205829 1.018 0.166109
205886 0.9231 0.166167
205964 0.8197 0.166239
206025 0.8037 0.166289
206132 0.7805 0.166375
206255 0.786 0.166471
206512 0.8571 0.166673
206519 0.8558 0.166679
206838 0.789 0.166952
207454 0.7718 0.167438
207958 0.7623 0.167827
208181 0.7527 0.167997
208549 1.103 0.168274
208665 1.558 0.168402
209325 1.294 0.16943
209359 1.068 0.169474
209403 0.8108 0.169521
212421 1.61 0.171968
212557 1.608 0.172187
212761 1.429 0.172515
212908 1.461 0.172725
213149 1.5 0.173077
213291 1.543 0.17329
214864 1.543 0.175717
215269 1.542 0.176342
215917 1.473 0.177341
216124 1.363 0.177646
217597 1.293 0.179654
217826 1.174 0.17995
218183 1.045 0.180369
219528 0.4344 0.181775
221874 0.4335 0.182794
223332 0.452 0.183426
223613 0.5261 0.183553
223843 0.6544 0.183674
223979 1.169 0.183763
224227 1.36 0.184053
224338 1.483 0.184204
224367 1.558 0.184247
224462 1.628 0.184395
224693 1.796 0.184771
224742 2.154 0.184859
224781 2.149 0.184943
224976 1.723 0.185362
225268 1.691 0.185865
225834 1.484 0.186822
225898 1.399 0.186917
226199 1.044 0.187338
227198 1.039 0.188381
227554 1 0.188751
227572 0.8776 0.188769
227621 0.8524 0.188812
227980 0.8193 0.189118
228301 0.7971 0.189381
228789 0.7458 0.18977
228848 0.6874 0.189814
229283 0.6738 0.190113
229470 0.6129 0.190239
229625 0.5229 0.190334
229734 0.4239 0.190391
229826 0.3199 0.19043
236828 0.3237 0.19267
237001 0.4235 0.192726
237988 0.7984 0.193144
238370 0.8421 0.193449
238389 0.9405 0.193465
239313 0.4944 0.194334
239667 0.4899 0.194509
239865 1.303 0.194606
240321 0.8409 0.1952
240365 0.8738 0.195237
240571 0.8571 0.195417
240578 0.4833 0.195423
242529 0.4851 0.196366
242797 0.4839 0.196496
243264 0.4946 0.196722
243357 0.4843 0.196768
244059 0.4849 0.197108
244457 0.4833 0.197301
244577 0.5333 0.197359
244592 0.485 0.197367
244792 0.4846 0.197464
245116 0.4864 0.197621
245706 0.4783 0.197908
245752 0.4884 0.19793
245838 0.4852 0.197972
246547 0.4864 0.198316
247174 0.5 0.198621
247406 0.5246 0.198737
247467 0.5435 0.198769
248030 1 0.199075
248039 1.168 0.199084
248241 1.021 0.19932
248428 2.938 0.199511
248749 1.766 0.200454
248796 1.77 0.200537
249061 0.5349 0.201006
249104 0.3333 0.201029
249260 0.2381 0.201081
249281 0.1364 0.201086
249391 0.09076 0.201101
249986 0 0.201155
249992 0.09328 0.201155
250453 0.1 0.201198
250503 0.08491 0.201203
250609 0.09286 0.201212
250889 0.1087 0.201238
250935 0.09385 0.201243
251244 0.1176 0.201272
251278 0.1502 0.201276
251531 0.1351 0.201314
251568 0.1875 0.201319
251664 0.2742 0.201337
251726 0.3942 0.201354
253063 0.4098 0.201881
253246 0.3611 0.201956
253282 0.2875 0.201969
253362 0.3017 0.201992
253594 0.3197 0.202062
253716 0.3612 0.202101
254051 0.4674 0.202222
254327 1.185 0.202351
255226 0.09615 0.203416
256994 0 0.203586
256995 0.07692 0.203586
257034 0.08571 0.203589
257349 0.1571 0.203616
257973 0.08333 0.203714
257985 0.04651 0.203715
258372 0.03704 0.203733
258561 0.03553 0.20374
259884 0.2642 0.203787
259990 0.6322 0.203815
261855 1.039 0.204994
262617 0.2832 0.205786
263542 0.2822 0.206048
264265 0.2927 0.206252
264347 0.2982 0.206276
264404 0.3265 0.206293
264502 0.4118 0.206325
264519 0.4272 0.206332
264835 0.6146 0.206467
265437 0.7812 0.206837
265469 1.041 0.206862
266121 1.523 0.207541
266165 1.979 0.207608
266505 1.132 0.208281
266543 1.121 0.208324
266708 0.8763 0.208509
266999 0.7647 0.208764
267033 0.6729 0.20879
267565 0.6697 0.209148
268325 0.5714 0.209657
268332 0.6716 0.209661
268740 0.6744 0.209935
269431 0.8101 0.210401
269510 1.167 0.210465
269534 1.472 0.210493
270224 0.7629 0.211509
270321 0.505 0.211583
270422 0.4031 0.211634
270613 0.4027 0.211711
271132 0.7188 0.21192
271228 0.7137 0.211989
271455 1.833 0.212151
271467 2.392 0.212173
271638 3.058 0.212582
272191 7.873 0.214273
272270 8.218 0.214895
272325 8.237 0.215347
272950 8.226 0.220495
272981 8.229 0.22075
273160 8.137 0.222223
273233 8.024 0.222817
273445 8.021 0.224518
274108 7.994 0.229836
274433 7.955 0.232434
274455 7.957 0.232609
274641 14.42 0.234089
274899 14.33 0.23781
275216 14.11 0.242354
275567 6.14 0.247308
276380 4.196 0.2523
277989 3.966 0.259051
278018 3.746 0.259166
278156 3.733 0.259683
279149 4.156 0.26339
279239 4.213 0.263764
279408 3.949 0.264476
279506 4 0.264863
279507 3.732 0.264867
279753 2.694 0.265785
279802 2.63 0.265917
281976 2.51 0.271634
282738 2.118 0.273547
283138 0.409 0.274394
284116 0.4083 0.274794
284623 0.4068 0.275001
285808 0.4048 0.275483
286102 0.4062 0.275602
286491 0.4118 0.27576
286593 0.4054 0.275802
286852 0.4064 0.275907
287226 0.4065 0.276059
288611 0.5778 0.276622
289061 1.335 0.276882
289237 5.351 0.277117
289348 5.365 0.277711
290670 2.719 0.284804
290841 1.667 0.285269
290844 0.8535 0.285274
292673 0.8215 0.286835
292998 0.8158 0.287102
293074 0.6189 0.287164
293360 0.5671 0.287341
294254 0.5324 0.287848
295225 0.5 0.288365
295237 0.5075 0.288371
295639 0.5023 0.288575
296750 0.5008 0.289133
297393 1 0.289455
297394 0.3713 0.289456
298719 0.3607 0.289948
299315 0.3571 0.290163
300295 0.3547 0.290513
302226 0.3673 0.291198
302324 0.3769 0.291234
303396 0.7349 0.291638
303479 1.312 0.291699
303639 1.318 0.291909
303727 0.9919 0.292025
303851 0.9835 0.292148
304276 1.02 0.292566
304428 1.06 0.292721
304478 1.103 0.292774
304769 1.166 0.293095
304944 3.462 0.293299
304957 3.528 0.293344
305205 3.636 0.294219
305216 1.514 0.294259
305642 1.25 0.294904
305654 1.154 0.294919
305667 0.9871 0.294934
306517 0.9769 0.295773
306906 0.9782 0.296153
307135 1.016 0.296377
307197 1.033 0.29644
307257 1 0.296502
307266 1.104 0.296511
307795 1.095 0.297095
308533 1.101 0.297903
310970 6.294 0.300586
311600 6.286 0.304551
311607 6.546 0.304595
312134 6.467 0.308045
312194 6.329 0.308433
312264 6.212 0.308876
313032 4.806 0.313647
313305 3.757 0.314959
313441 2.566 0.31547
313637 2.517 0.315973
313666 1.337 0.316046
314209 1.341 0.316772
314464 1.212 0.317114
314516 1.208 0.317177
314593 1.363 0.31727
314844 1.493 0.317612
315185 1.385 0.318121
315294 1.38 0.318272
315394 1.173 0.31841
315736 1.239 0.318811
316117 1.2 0.319283
316217 1.143 0.319403
316231 1.125 0.319419
316247 1.038 0.319437
316325 1.042 0.319518
316515 1.041 0.319716
316663 1.091 0.31987
316685 1.064 0.319894
316998 0.9136 0.320227
317218 0.9091 0.320428
317240 0.7931 0.320448
317269 0.6238 0.320471
317370 0.5172 0.320534
318153 0.4815 0.320939
318207 0.3003 0.320965
319932 0.1202 0.321483
322760 0.1303 0.321823
324111 0.1349 0.321999
324237 0.1763 0.322016
324651 0.5062 0.322089
325299 0.5058 0.322417
325993 0.5088 0.322768
326050 0.5125 0.322797
326130 0.5185 0.322838
326184 0.5455 0.322866
326206 0.5258 0.322878
326400 0.5417 0.32298
326448 0.5705 0.323006
326767 1.099 0.323188
326928 1.172 0.323365
327365 1.177 0.323877
327782 1.186 0.324368
327938 1.579 0.324553
327957 2.102 0.324583
328006 2.49 0.324686
328367 0.95 0.325585
328627 1 0.325832
328634 0.7743 0.325839
328860 0.603 0.326014
329462 0.4076 0.326377
329830 0.3954 0.326527
330351 0.56 0.326733
330451 0.5541 0.326789
331153 0.6667 0.327178
331183 0.7885 0.327198
331235 0.8831 0.327239
331389 0.9109 0.327375
331490 0.9131 0.327467
332008 2.5 0.32794
332020 4.068 0.32797
332152 4.452 0.328507
332639 4.634 0.330675
333712 4.682 0.335647
333819 4.695 0.336148
334016 4.716 0.337073
334104 4.717 0.337488
334337 4.717 0.338587
334524 4.696 0.339469
334708 4.06 0.340333
335256 3.015 0.342558
335387 2.44 0.342953
335462 2.182 0.343136
335484 1.754 0.343184
335545 0.9438 0.343291
336186 0.8147 0.343896
337422 0.7663 0.344903
337606 0.742 0.345044
341063 2.618 0.347609
342394 2.681 0.351094
343981 13.73 0.355349
344100 14.28 0.356983
344229 14.16 0.358825
344508 14.2 0.362777
345199 2.552 0.372588
345402 2.48 0.373106
345598 2.467 0.373592
345900 1.284 0.374337
346691 1.75 0.375353
346707 2.094 0.375381
346739 2.419 0.375448
346887 1.763 0.375806
346963 1.034 0.37594
347559 1.048 0.376556
347683 1.085 0.376686
347825 1.202 0.37684
347924 1.293 0.376959
348204 2 0.377321
348205 1.582 0.377323
348303 1.791 0.377478
348466 2.24 0.37777
348708 2.019 0.378312
348760 2.083 0.378417
348772 2.13 0.378442
348795 2.127 0.378491
349062 1.017 0.379059
349181 1 0.37918
349182 0.8601 0.379181
349518 0.8205 0.37947
349557 0.7622 0.379502
349721 0.7091 0.379627
349831 0.7053 0.379705
349926 0.6464 0.379772
350602 0.8613 0.380209
350984 1.154 0.380538
351146 0.8553 0.380725
351374 0.8654 0.38092
351478 0.7125 0.38101
351558 0.7277 0.381067
351793 0.5926 0.381238
351874 0.485 0.381286
352944 1.399 0.381805
353378 1.4 0.382412
353393 1.431 0.382433
353991 1.539 0.383289
354334 1.555 0.383817
354664 1.5 0.38433
354680 1.515 0.384354
354913 1.722 0.384707
355718 1.72 0.386093
355793 1.672 0.386222
356134 0.9443 0.386792
356655 1.219 0.387284
357221 2.507 0.387974
357653 2.813 0.389057
357669 2.805 0.389102
357756 2.803 0.389346
358040 2.92 0.390142
