position COMBINED_rate(cM/Mb) Genetic_Map(cM)
253938 0.1541 0.0
256859 0.1545 0.00045
259772 0.1553 0.0009
260970 0.1429 0.001086
261033 0.155 0.001095
266034 0.3471 0.00187
266544 1.259 0.002047
266888 1.331 0.00248
267039 1.546 0.002681
267213 2.17 0.00295
267614 1.109 0.00382
269380 0.7116 0.005779
276245 1.791 0.010664
277717 2.017 0.013301
277776 3.134 0.01342
279645 4.135 0.019277
280299 4.236 0.021981
281360 6.164 0.026475
287129 6.114 0.062038
288246 6.135 0.068867
288320 6.136 0.069321
292082 8.818 0.092406
292583 9.06 0.096824
292901 9.051 0.099705
292940 9.074 0.100058
293346 9.668 0.103742
293671 9.669 0.106884
293828 9.682 0.108402
293913 9.714 0.109225
293934 9.723 0.109429
294212 10.11 0.112132
294457 11.35 0.11461
294526 11.27 0.115393
295131 11.27 0.122209
295295 9.942 0.124057
296458 6.793 0.135619
301619 3.6 0.170678
301639 1.655 0.17075
301668 0.3942 0.170798
304499 0.4074 0.171914
304526 0.395 0.171925
311037 0.4353 0.174497
311825 0.4702 0.17484
316040 0.441 0.176822
319822 0.2863 0.17849
327182 0.2766 0.180597
327323 0.2611 0.180636
327683 0.2609 0.18073
327821 0.2542 0.180766
327998 0.2532 0.180811
328855 0.2521 0.181028
330263 0.2523 0.181383
331028 0.2557 0.181576
334474 0.2915 0.182457
334673 0.2932 0.182515
335055 0.4377 0.182627
335946 0.358 0.183017
340700 0.6159 0.184719
344053 0.6158 0.186784
348743 0.6163 0.189672
349160 0.6136 0.189929
352341 0.6125 0.191881
354248 0.7809 0.193049
358990 2.491 0.196752
362283 2.77 0.204955
363127 5.35 0.207293
364695 10.1 0.215682
366451 10.23 0.233413
366680 10.4 0.235755
367089 11.56 0.240008
367178 11.56 0.241037
367313 17.2 0.242598
372661 17.2 0.334557
372775 17.2 0.336518
373897 17.21 0.35582
376382 7.389 0.398577
376585 4.722 0.400077
379003 4.765 0.411494
383057 8.573 0.43081
384644 8.588 0.444416
384724 8.58 0.445103
384812 8.581 0.445858
387791 8.582 0.471422
388413 8.582 0.47676
389397 8.581 0.485205
389805 8.559 0.488706
389873 8.553 0.489288
390206 8.556 0.492136
390341 8.136 0.493291
390627 4.927 0.495618
391296 3.44 0.498914
391569 3.044 0.499853
391794 2.235 0.500538
393044 2.179 0.503332
396948 3.423 0.511837
397111 3.493 0.512395
397531 10.09 0.513862
397896 12.84 0.517546
401714 14.12 0.566562
402491 14.69 0.57753
405929 14.66 0.628039
406370 9.025 0.634502
409977 7.542 0.667054
411849 3.348 0.681172
412730 3.237 0.684122
415294 3.225 0.692421
416231 3.248 0.695443
416449 2.818 0.696151
416834 3.837 0.697236
416963 4.098 0.697731
417014 4.101 0.69794
417262 4.47 0.698957
417396 6.619 0.699556
417556 8.449 0.700615
417714 9.13 0.70195
417737 9.828 0.70216
418178 9.888 0.706494
418436 9.887 0.709045
418507 9.878 0.709747
418556 9.882 0.710231
418624 9.876 0.710903
418769 9.882 0.712335
418786 9.858 0.712503
419075 9.845 0.715352
419204 9.852 0.716622
419407 9.812 0.718622
419471 9.815 0.71925
419498 9.758 0.719515
419531 9.763 0.719837
420755 8.004 0.731787
422238 1.963 0.743657
425559 1.196 0.750176
428608 0.9835 0.753824
431029 1.424 0.756205
431187 1.848 0.75643
436690 1.945 0.766602
438357 2.115 0.769844
438584 2.193 0.770324
438916 2.201 0.771052
439393 2.201 0.772102
440478 2.19 0.77449
441195 2.167 0.77606
441243 2.156 0.776164
446887 2.153 0.788333
448041 2.151 0.790818
450282 2.15 0.795639
450515 2.148 0.79614
453750 2.143 0.80309
454430 2.147 0.804547
454955 2.136 0.805674
455285 2.113 0.806379
464612 2.107 0.826085
472149 2.589 0.841965
478964 2.785 0.859607
482160 2.803 0.868507
482221 2.83 0.868678
482984 8.542 0.870837
484650 8.567 0.885068
485177 8.566 0.889583
491433 2.827 0.943174
494057 2.766 0.950593
495722 2.766 0.955198
499978 2.781 0.966969
501900 2.812 0.972314
507450 2.801 0.987921
507731 2.802 0.988708
508626 2.789 0.991216
509158 2.788 0.9927
509569 2.791 0.993846
509717 2.811 0.994259
509897 2.825 0.994765
511453 2.821 0.999161
514858 8.15 1.008765
523110 8.142 1.07602
525105 7.984 1.092263
525739 7.828 1.097325
529004 4.349 1.122882
533872 0.5924 1.144051
536610 0.5896 1.145673
536878 0.5874 1.145831
538160 0.6086 1.146584
538487 0.5909 1.146783
538531 0.5833 1.146809
538687 0.5849 1.1469
538740 0.5842 1.146931
538930 1.205 1.147042
538974 1.2 1.147095
538994 2.911 1.147119
539174 2.917 1.147643
539222 2.929 1.147783
539250 2.938 1.147865
539266 2.976 1.147912
539593 3.073 1.148885
539730 3.138 1.149306
539817 3.204 1.149579
539871 3.246 1.149752
541217 3.233 1.154121
541260 3.254 1.15426
541685 3.254 1.155643
541917 3.25 1.156398
542009 3.259 1.156697
542233 3.259 1.157427
542395 3.385 1.157955
542473 3.571 1.158219
542494 3.826 1.158294
542672 5 1.158975
542674 6.197 1.158985
543359 6.287 1.16323
544140 9.029 1.16814
544277 9.158 1.169377
544315 9.192 1.169725
549595 9.193 1.218261
549678 9.189 1.219024
551374 9.188 1.234608
552231 9.189 1.242482
552650 8.718 1.246332
552689 7.69 1.246672
554919 9.55 1.263821
556112 10.02 1.275214
556632 10.07 1.280423
556692 10.09 1.281027
558714 10.13 1.301431
562292 10.13 1.337691
562530 10.14 1.340103
572317 6.232 1.439315
572628 2.05 1.441253
575083 1.045 1.446285
577321 1.096 1.448624
579100 3.131 1.450574
581633 3.335 1.458506
581815 3.525 1.459113
582775 4.068 1.462497
588305 3.971 1.484992
588860 3.877 1.487196
593889 7.879 1.506693
594599 10.92 1.512287
605985 12.47 1.636609
607984 12.47 1.661536
610729 12.48 1.695776
614967 3.992 1.748649
618159 0.5847 1.761392
624090 0.585 1.76486
624502 1.683 1.765101
629303 1.948 1.773179
629438 2.895 1.773442
634095 4.398 1.786926
638853 4.625 1.807851
642955 4.625 1.826823
647039 4.613 1.845711
647251 4.614 1.846689
651343 4.47 1.865571
651852 3.905 1.867846
655608 3.001 1.882513
657666 2.97 1.88869
660913 2.97 1.898335
661080 2.97 1.898831
663929 2.971 1.907292
665186 2.97 1.911027
666926 2.969 1.916194
667118 2.97 1.916764
669458 2.967 1.923713
670525 3.086 1.926879
670606 3.356 1.927129
670828 5.743 1.927874
674443 5.736 1.948634
675106 5.167 1.952437
675513 5.12 1.95454
682010 3.951 1.987805
683221 3.701 1.99259
685380 3.693 2.000581
685481 3.691 2.000954
687835 3.715 2.009642
690548 3.763 2.019721
691909 3.867 2.024842
697514 3.992 2.046518
699532 4.012 2.054573
704538 4.012 2.074659
710050 4.039 2.096772
715780 4.043 2.119913
717664 4.043 2.12753
723205 4.044 2.149932
725939 4.05 2.160987
726098 3.931 2.161631
726200 4.014 2.162032
726482 3.873 2.163164
728236 3.842 2.169958
730030 3.091 2.17685
730052 2.869 2.176918
730235 2.823 2.177443
730297 2.525 2.177618
731055 2.484 2.179532
732880 2.525 2.184066
734851 5.493 2.189042
737123 5.771 2.201522
741758 5.343 2.22827
743221 2.766 2.236087
743589 2.766 2.237105
744004 2.581 2.238253
744501 2.501 2.239536
745344 2.5 2.241644
746206 2.5 2.243799
747150 2.5 2.246159
750173 2.727 2.253715
750184 3.003 2.253745
750583 3.463 2.254943
751060 3.462 2.256595
751553 3.52 2.258302
752878 3.704 2.262966
753715 3.779 2.266066
753950 4.083 2.266954
753962 4.464 2.267003
753990 4.893 2.267128
754018 5.338 2.267265
756179 6.87 2.2788
756709 6.877 2.282441
756985 11.45 2.284339
757412 15.42 2.289228
757606 15.46 2.292219
757641 15.46 2.29276
760809 15.46 2.341725
763508 15.46 2.383447
763952 15.41 2.39031
764046 15.41 2.391759
764389 15.3 2.397043
765374 15.07 2.41211
765568 14.92 2.415034
766103 14.71 2.423017
766369 14.7 2.426929
773437 14.6 2.530853
776648 14.41 2.577746
782854 10.08 2.667165
784824 10.12 2.687016
789890 10.12 2.738267
792621 10.12 2.765907
797079 5.34 2.811025
799342 5.079 2.82311
799770 5.017 2.825284
801381 5.011 2.833367
801820 5.01 2.835567
802209 5.029 2.837516
802244 5.002 2.837692
803086 5.002 2.841904
803697 5 2.84496
803945 4.985 2.8462
804013 4.97 2.846539
804079 4.973 2.846867
806673 4.977 2.859766
806977 5.15 2.861279
812801 5.374 2.891272
817708 1.111 2.917642
819997 1.112 2.920185
820095 1.118 2.920294
823550 1.12 2.924156
827655 1.999 2.928752
829568 3.915 2.932577
830621 4.91 2.936699
830854 11.63 2.937843
834154 11.2 2.976211
836766 5.313 3.005454
840776 5.486 3.026758
840984 5.695 3.027899
844020 7.035 3.045189
846041 7.055 3.059407
846716 7.051 3.064169
850023 7.045 3.087487
850199 7.042 3.088727
859214 5.329 3.152207
862912 4.841 3.171914
863038 4.357 3.172524
863220 4.193 3.173317
864120 4.193 3.177091
865374 4.125 3.182349
865406 4.354 3.182481
865818 3.118 3.184275
865835 1.869 3.184328
866018 1.341 3.18467
868115 0.9957 3.187482
869037 0.6667 3.1884
869061 0.4127 3.188416
871135 0.3485 3.189272
876604 0.3721 3.191178
877437 0.4243 3.191488
880602 0.4258 3.192831
881161 0.4286 3.193069
881413 0.4289 3.193177
884782 0.4286 3.194622
885818 0.429 3.195066
887128 0.4307 3.195628
889821 0.4416 3.196788
889898 0.4313 3.196822
890844 6.305 3.19723
896499 6.392 3.232883
897571 6.393 3.239735
899978 6.38 3.255123
904139 6.38 3.281669
906633 6.345 3.29758
907673 6.329 3.304179
910742 6.32 3.323603
923744 6.339 3.405775
927971 6.382 3.432572
931523 3.429 3.455241
938708 2.507 3.479875
939673 2.292 3.482294
939697 2.047 3.482349
941603 1.411 3.48625
942660 0.935 3.487741
945013 1 3.489941
945089 1.063 3.490017
945710 2.921 3.490677
946163 1.4 3.492
948532 1.897 3.495317
948629 2.235 3.495501
949122 2.692 3.496603
950380 2.844 3.49999
950560 2.866 3.500502
950694 2.866 3.500886
952866 3.789 3.507111
954678 3.913 3.513976
954701 4.042 3.514066
955110 3.989 3.515719
955552 3.88 3.517482
955577 3.736 3.517579
957385 3.516 3.524333
957447 2.56 3.524551
958495 1.899 3.527234
960187 1.456 3.530447
960266 1.273 3.530562
960277 1.196 3.530576
960445 1.141 3.530777
960701 1.074 3.531069
961054 0.9051 3.531448
962108 0.8868 3.532402
962161 0.879 3.532449
964434 0.8774 3.534447
966693 3.243 3.536429
976024 4.925 3.566688
984578 0.9875 3.608817
987051 1.4 3.611259
987571 1.379 3.611987
988136 1.379 3.612766
988165 1.3 3.612806
988175 1.36 3.612819
988261 1.307 3.612936
988336 1.416 3.613034
989730 1.41 3.615008
990281 1.41 3.615785
992903 1.411 3.619481
998127 6.24 3.626851
1002848 5.886 3.656308
1003173 1.828 3.658221
1006769 1.552 3.664793
1008505 1.497 3.667487
1008684 1.457 3.667755
1012612 1.282 3.673479
1014399 1.283 3.67577
1014713 1.293 3.676173
1018319 1.307 3.680835
1019106 1.356 3.681864
1020084 1.437 3.68319
1026478 1.465 3.692376
1031213 1.838 3.699314
1032597 2.483 3.701858
1036553 2.781 3.71168
1038223 2.767 3.716325
1038446 11.12 3.716942
1038926 10.95 3.72228
1039411 10.85 3.727591
1039472 10.77 3.728253
1040047 10.74 3.734446
1041165 3.266 3.746457
1041353 1.838 3.747071
1042810 1.174 3.749749
1043749 0.7085 3.750851
1044713 0.6529 3.751534
1045174 0.6347 3.751835
1046521 0.6349 3.75269
1051215 0.6345 3.75567
1053300 0.6444 3.756993
1053525 0.6732 3.757138
1053678 0.6527 3.757241
1054061 0.617 3.757491
1056066 0.6112 3.758728
1056493 0.6056 3.758989
1056564 0.5985 3.759032
1056838 0.6 3.759196
1057138 0.5964 3.759376
1057864 0.5951 3.759809
1059005 0.6018 3.760488
1065564 0.6728 3.764435
1065946 0.7771 3.764692
1070992 0.9448 3.768613
1073074 0.986 3.77058
1074001 1.024 3.771494
1075980 1.083 3.773521
1076064 1.152 3.773612
1080190 1.918 3.778366
1080312 1.948 3.7786
1081121 2.3 3.780176
1082343 2.352 3.782986
1083492 2.445 3.785688
1086044 2.405 3.791927
1086081 2.412 3.792016
1088286 1.99 3.797335
1090804 24.02 3.802345
1093454 24.02 3.865997
1095062 20.03 3.904621
1095123 17.55 3.905843
1095152 1.524 3.906352
1095337 1.522 3.906634
1095515 1.448 3.906905
1095582 1.348 3.907002
1095717 1.318 3.907184
1095739 1.333 3.907213
1095754 1.308 3.907233
1096530 1.396 3.908248
1098067 1.529 3.910393
1098810 2.898 3.911529
1098918 3.721 3.911842
1099702 4.112 3.914759
1100793 8.65 3.919245
1101993 1.612 3.929625
1102212 1.439 3.929978
1102729 1.464 3.930722
1103466 1.668 3.931801
1107036 1.488 3.937755
1107161 0.3791 3.937941
1110830 0.3723 3.939332
1114120 0.3123 3.940557
1116118 0.266 3.941181
1119020 0.2568 3.941953
1121781 0.2549 3.942662
1121832 0.2563 3.942675
1122148 0.2575 3.942756
1123379 0.8299 3.943073
1123526 1 3.943195
1123541 1.238 3.94321
1123663 1.241 3.943361
1124032 2.727 3.943819
1124054 4.808 3.943879
1124631 6.932 3.946653
