position COMBINED_rate(cM/Mb) Genetic_Map(cM)
11523 4.9 0.0
11543 6.289 9.8e-05
11816 6.355 0.001815
12092 6.604 0.003569
12183 7.287 0.00417
12716 8.143 0.008054
12842 8.156 0.00908
13034 3.212 0.010646
51984 3.207 0.135747
57731 2.002 0.15418
59318 0.2892 0.157357
61355 0.2858 0.157946
69805 0.2903 0.160361
69836 0.2852 0.16037
73090 3.435 0.161298
78172 7.214 0.178754
85149 0.2334 0.229087
87505 0.2289 0.229637
87588 0.2319 0.229656
87933 0.2332 0.229736
91723 0.2331 0.23062
93276 0.233 0.230982
99186 0.2327 0.232359
99779 0.233 0.232497
100779 0.2174 0.23273
100825 0.2339 0.23274
100949 0.25 0.232769
100977 0.2323 0.232776
112535 0.2359 0.235461
115574 0.4449 0.236178
122474 0.6928 0.239248
127159 0.7273 0.242494
127170 0.7568 0.242502
132301 0.7586 0.246385
132649 0.7273 0.246649
132671 0.7169 0.246665
135649 0.7027 0.2488
136305 0.68 0.249261
136630 0.6672 0.249482
139767 0.6671 0.251575
143973 0.6716 0.254381
150399 1.062 0.258697
154192 0.8604 0.262726
154457 0.7565 0.262954
159382 0.1809 0.26668
159885 0.0509 0.266771
160887 0.04533 0.266822
161240 0.04399 0.266838
161922 0.04274 0.266868
162039 0.0423 0.266873
164285 0.04305 0.266968
165098 0.04225 0.267003
165453 0.06 0.267018
165503 0.0491 0.267021
166277 0.04914 0.267059
177063 0.04773 0.267589
177503 0.0496 0.26761
178007 0.05014 0.267635
179403 0.05171 0.267705
180486 0.1083 0.267761
182139 0.1053 0.26794
182253 0.115 0.267952
182766 0.08772 0.268011
183621 0.05029 0.268086
184476 0.0614 0.268129
184704 0.2833 0.268143
185110 0.3051 0.268258
186998 0.06679 0.268834
188570 0.03961 0.268939
191751 0.04053 0.269065
193108 0.03704 0.26912
193162 0.02912 0.269122
194055 0.02963 0.269148
195405 0.02929 0.269188
195644 0.03038 0.269195
196829 0.03 0.269231
199462 0.03145 0.26931
204232 0.03155 0.26946
207370 0.1241 0.269559
208998 0.1273 0.269761
209430 0.1237 0.269816
209527 0.1168 0.269828
210306 0.1156 0.269919
210453 0.099 0.269936
212756 0.09873 0.270164
213151 0.09751 0.270203
213592 0.1429 0.270246
213606 0.09502 0.270248
213827 0.09786 0.270269
214951 0.125 0.270379
214959 0.09375 0.27038
214991 0.0974 0.270383
215299 0.08696 0.270413
215345 0.09609 0.270417
216958 0.07838 0.270572
217379 0.06604 0.270605
217485 0.05774 0.270612
217866 0.05319 0.270634
218242 0.06977 0.270654
218285 0.06173 0.270657
218366 0.1003 0.270662
218695 0.2759 0.270695
218753 0.3687 0.270711
220071 0.1889 0.271197
220341 0.09148 0.271248
220658 0.03378 0.271277
221102 0.03448 0.271292
221131 0.02896 0.271293
222167 0.02947 0.271323
223185 0 0.271353
223189 0.02714 0.271353
224184 0.02768 0.27138
225051 0.02693 0.271404
225608 0.02809 0.271419
225964 0.04762 0.271429
225985 0.044 0.27143
226485 0.2118 0.271452
229710 0.2098 0.272135
229853 0.1176 0.272165
229887 0 0.272169
229888 0.06698 0.272169
230739 0.06571 0.272226
232337 0.04822 0.272331
234473 0.04811 0.272434
235928 0.04784 0.272504
237663 0.04571 0.272587
237838 0.04824 0.272595
239289 0.0481 0.272665
241347 0.04795 0.272764
242494 0.04844 0.272819
244125 0.04799 0.272898
247834 0.04762 0.273076
248254 0.04 0.273096
248279 0.04819 0.273097
249939 0.0463 0.273177
250047 0.09091 0.273182
250058 0.04782 0.273183
250539 0.06 0.273206
