position COMBINED_rate(cM/Mb) Genetic_Map(cM)
19032163 2.821 0.0
19198132 2.058 0.468212
19680339 2.762 1.460806
19726717 1.059 1.588912
19728922 0.7972 1.591248
19730012 0.7987 1.592117
19731284 0.8009 1.593133
19734966 0.7838 1.596082
19741451 0.6443 1.601165
19744476 1.857 1.603114
19744483 2.955 1.603127
19744550 4.721 1.603325
19744847 4.71 1.604727
19744878 4.667 1.604873
19744896 4.595 1.604957
19745022 1.995 1.605536
19745778 0.5928 1.607044
19746748 0.6008 1.607619
19747219 0.6286 1.607902
19747289 0.7079 1.607946
19747830 3.673 1.608329
19748139 3.72 1.609464
19750966 5.638 1.619981
19751259 5.647 1.621633
19752802 5.645 1.630346
19753340 5 1.633383
19753341 1.411 1.633388
19754695 1.412 1.635299
19755304 1.413 1.636159
19755844 1.427 1.636922
19756808 1.789 1.638298
19757173 1.893 1.638951
19757733 1.968 1.640011
19758289 1.957 1.641105
19758336 1.964 1.641197
19758503 1.933 1.641525
19758533 1.94 1.641583
19758732 1.937 1.641969
19759145 1.938 1.642769
19759661 1.933 1.643769
19759765 1.934 1.64397
19760143 1.936 1.644701
19760705 1.956 1.645789
19761047 2.391 1.646458
19761770 2.452 1.648187
19761801 2.514 1.648263
19762607 2.927 1.650289
19762662 3.174 1.65045
19763052 3.325 1.651688
19763455 3.327 1.653028
19763755 3.444 1.654026
19763879 3.556 1.654453
19763987 3.552 1.654837
19764822 3.553 1.657803
19765368 3.613 1.659743
19765681 3.779 1.660874
19771087 3.292 1.681302
19771320 2.672 1.682069
19777970 2.672 1.69984
19780669 2.671 1.707052
19781720 2.674 1.709859
19781809 2.672 1.710097
19786411 3.563 1.722394
19787631 3.562 1.726741
19788455 3.688 1.729676
19790732 3.714 1.738073
19790844 3.709 1.738489
19791064 3.715 1.739305
19791777 3.669 1.741954
19792082 3.668 1.743073
19792284 3.668 1.743814
19792946 3.668 1.746242
19793202 3.67 1.747181
19793860 3.671 1.749596
19795226 3.675 1.754611
19795266 3.718 1.754758
19795666 3.722 1.756245
19795860 3.73 1.756967
19796753 3.73 1.760298
19797042 3.815 1.761376
19797210 3.854 1.762017
19797477 3.858 1.763046
19797696 3.857 1.763891
19798227 3.857 1.765939
19798255 3.877 1.766047
19798328 3.869 1.76633
19798855 6.393 1.768369
19799786 6.421 1.774321
19802505 5.899 1.791779
19804320 2.053 1.802486
19814493 0.7011 1.823372
19821124 0.8231 1.828021
19821644 1.723 1.828449
19822218 1.722 1.829438
19822524 1.719 1.829965
19823058 1.406 1.830883
19823127 1.154 1.83098
19823380 0.9949 1.831272
19824172 1.462 1.83206
19824185 1.865 1.832079
19824326 1.826 1.832342
19824521 1.793 1.832698
19824637 1.456 1.832906
19824694 0.7293 1.832989
19825972 0.7143 1.833921
19827190 0.7019 1.834791
19827351 0.692 1.834904
19827851 0.688 1.83525
19828351 0.6014 1.835594
19828499 0.4337 1.835683
19831132 0.4232 1.836825
19836888 4.766 1.839261
19837272 2.69 1.841091
19839530 1.263 1.847166
19841526 1.262 1.849687
19842693 1.577 1.85116
19842764 1.583 1.851272
19843929 1.627 1.853116
19845212 1.631 1.855204
19846402 1.63 1.857145
19846799 1.611 1.857792
19847879 1.611 1.859532
19847933 1.611 1.859619
19847969 1.613 1.859677
19848362 1.613 1.860311
19848680 1.616 1.860824
19849489 1.606 1.862131
19849588 1.596 1.86229
19850382 1.596 1.863557
19853191 1.594 1.868039
19853445 1.595 1.868444
19854006 1.596 1.869339
19854878 1.596 1.870731
19856351 1.597 1.873082
19858750 1.597 1.876913
19862958 1.599 1.883634
19864696 1.603 1.886413
19868968 1.652 1.893259
19871243 1.911 1.897018
19872152 1.995 1.898755
19873105 2.004 1.900656
19873338 3.35 1.901123
19873418 4.07 1.901391
19873461 6.56 1.901566
19873486 8.796 1.90173
19874707 8.801 1.91247
19875290 8.824 1.917601
19875398 8.849 1.918554
19878162 8.92 1.943014
19878187 8.942 1.943237
19878413 8.735 1.945258
19878790 8.735 1.948551
19878892 8.762 1.949442
19879043 8.778 1.950765
19879052 8.763 1.950844
19879145 8.758 1.951659
19879405 25.64 1.953936
19879622 25.64 1.9595
19880313 25.63 1.977214
19880874 25.64 1.991595
19881009 25.63 1.995056
19881950 25.23 2.019178
19882413 7.71 2.030861
19882551 1.241 2.031925
19883831 1.085 2.033513
19886017 1.056 2.035884
19886548 1.055 2.036445
19888911 0.8513 2.038937
19893786 1 2.043087
19893932 1.032 2.043233
19894661 1.1 2.043985
19895011 1.189 2.04437
19895530 1.315 2.044987
19896389 1.683 2.046117
19897241 1.89 2.047551
19897694 1.946 2.048407
19898156 1.893 2.049306
19899033 1.891 2.050966
19899208 1.824 2.051297
19899339 1.773 2.051536
19899361 1.758 2.051575
19899452 1.737 2.051735
19900219 1.691 2.053067
19902007 2.55 2.056091
19902585 2.426 2.057565
19903889 2.55 2.060728
19904556 2.714 2.062429
19904860 2.733 2.063254
19904875 2.654 2.063295
19904927 2.455 2.063433
19905274 2.413 2.064285
19906486 2.131 2.067209
19909567 2.148 2.073776
19909790 2.167 2.074255
19911361 2.2 2.07766
19915080 12.62 2.085842
19915250 12.66 2.087988
19915423 15.56 2.090178
19918238 13.73 2.133977
19918334 11.64 2.135295
19918379 1.536 2.135819
19919923 1.537 2.13819
19920245 1.524 2.138685
19921562 1.614 2.140692
19921715 1.746 2.140939
19922266 1.744 2.141901
19922352 1.73 2.142051
19922749 2.242 2.142738
19923423 2.24 2.144249
19924031 2.571 2.145611
19924227 2.61 2.146115
19925415 2.893 2.149216
19925760 3.116 2.150214
19925829 3.385 2.150429
19926185 3.335 2.151634
19926531 2.949 2.152788
19926609 2.509 2.153018
19926721 2.393 2.153299
19927217 1.751 2.154486
19927538 2.867 2.155048
19928506 3.053 2.157823
19928525 3.221 2.157881
19929208 3.293 2.160081
19929450 3.222 2.160878
19929810 3.193 2.162038
19929929 3.231 2.162418
19930167 2.07 2.163187
19930210 0.8443 2.163276
19930820 0.7816 2.163791
19931310 0.7844 2.164174
19931681 0.7887 2.164465
19932211 0.8381 2.164883
19932421 0.8678 2.165059
19932784 1.246 2.165374
19932841 1.948 2.165445
19933497 2.291 2.166723
19933933 2.75 2.167722
19933937 2.844 2.167733
19934033 2.921 2.168006
19934134 2.913 2.168301
19934639 0.9018 2.169772
19935932 0.8503 2.170938
19936079 0.8514 2.171063
19936577 0.4582 2.171487
19940475 1.135 2.173273
19940549 1.286 2.173357
19940752 2.032 2.173618
19941099 2.05 2.174323
19941340 1.986 2.174817
19941620 1.569 2.175373
19941685 1.013 2.175475
19942691 1.004 2.176494
19943530 1 2.177336
19943558 1.001 2.177364
19944300 1.041 2.178107
19944880 1.05 2.178711
19945161 1.056 2.179006
19945642 1.056 2.179514
19945961 1.056 2.179851
19945979 1.062 2.17987
19946725 1.062 2.180662
19946887 1.083 2.180834
19947479 2 2.181475
19947600 2.095 2.181717
19947621 2.191 2.181761
19947762 2.19 2.18207
19947967 2.167 2.182519
19947991 2.186 2.182571
19948340 2.25 2.183334
19948416 2.333 2.183505
19948431 2.48 2.18354
19948481 2.481 2.183664
19948664 6.96 2.184118
19949235 10.32 2.188092
19949329 16.46 2.189062
19949368 31.79 2.189704
19949382 31.75 2.190149
19949394 31.8 2.19053
19949404 31.8 2.190848
19949429 31.78 2.191643
19949516 22.62 2.194408
19949637 22.62 2.197145
19949942 22.62 2.204045
19950330 22.61 2.212823
19951082 19.94 2.229827
19951100 1.468 2.230186
19951538 1.669 2.230829
19951683 1.815 2.231071
19951710 2.197 2.23112
19951771 2.729 2.231254
19951992 1.912 2.231857
19952105 1.73 2.232073
19952179 1.592 2.232201
19952228 1.279 2.232279
19952271 0.9504 2.232334
19952412 0.8684 2.232468
19952526 0.7425 2.232567
19952759 2.216 2.23274
19953209 0.6667 2.233737
19953230 0.6618 2.233751
19953437 0.6531 2.233888
19953535 0.6471 2.233952
19953756 0.6 2.234095
19953776 0.5556 2.234107
19953821 0.4891 2.234132
19954095 0.459 2.234266
19954424 0.5 2.234417
19954442 0.4286 2.234426
19954652 0.1708 2.234516
19955706 0.6588 2.234696
19955791 2.641 2.234752
19956025 2.623 2.23537
19956147 0.5903 2.23569
19956767 0.36 2.236056
19956892 0.6333 2.236101
19957012 0.5977 2.236177
19957626 0.3095 2.236544
19957752 0.003929 2.236583
19958261 0.003521 2.236585
19958545 0 2.236586
19958583 0.003836 2.236586
19962233 0.004174 2.2366
19964389 0.008621 2.236609
19964505 0 2.23661
