position COMBINED_rate(cM/Mb) Genetic_Map(cM)
15287922 0.1178 1.457757
16370978 0.5019 1.585395
16372046 0.496 1.585931
16373044 0.5101 1.586426
16373740 0.6032 1.586781
16374612 2.655 1.587307
16374641 2.694 1.587384
16374814 0.8592 1.58785
16374956 0.4176 1.587972
16375126 0.385 1.588043
16375526 0.3453 1.588197
16377591 0.2647 1.58891
16377625 0.2242 1.588919
16378022 0.1972 1.589008
16378306 0.1791 1.589064
16381583 0.1794 1.589651
16382408 2.247 1.589799
16384600 2.884 1.594725
16389667 1.906 1.609336
16390714 2.49 1.611332
16397311 1.443 1.627759
16397695 0.5221 1.628313
16398802 0.3875 1.628891
16406248 0.3868 1.631776
16407851 0.3932 1.632396
16408174 0.3959 1.632523
16409399 0.3977 1.633008
16409570 0.4545 1.633076
16409581 0.3949 1.633081
16410090 0.3976 1.633282
16412723 0.4072 1.634329
16413364 0.4138 1.63459
16413538 0.42 1.634662
16415438 0.4783 1.63546
16415484 0.538 1.635482
16416036 1.892 1.635779
16416156 1.91 1.636006
16419408 2.638 1.642217
16421699 2.697 1.64826
16425168 2.876 1.657616
16430832 2.941 1.673904
16431086 1.12 1.674651
16434967 2.192 1.678997
16435258 3.407 1.679635
16438107 0.1369 1.689342
16456391 0.1365 1.691845
16457636 0.1377 1.692015
16472237 0.1408 1.694025
16472379 0.1449 1.694045
16476562 0.15 1.694651
16485919 0.1677 1.696055
16490010 0.1801 1.696741
16492336 0.1849 1.69716
16502716 0.2002 1.699079
16508400 0.1982 1.700217
16509530 0.1981 1.700441
16509636 0.1949 1.700462
16549820 0.1951 1.708295
16549902 0.2321 1.708311
16550182 0.2823 1.708376
16551808 0.5268 1.708835
16568935 0.5976 1.717857
16569017 0.8343 1.717906
16569198 1.065 1.718057
16573830 1.212 1.722988
16575132 1.409 1.724566
16576248 1.545 1.726139
16576707 1.727 1.726848
16582469 2.28 1.736799
16584189 2.686 1.740721
16585842 6.101 1.745161
16586614 6.296 1.749871
16587858 6.24 1.757703
16589219 6.156 1.766196
16590153 3.737 1.771946
16591593 2.521 1.777327
16592176 1.741 1.778797
16594463 1.749 1.782778
16599488 1.79 1.791565
16603719 0.7647 1.799138
16603872 0.6109 1.799255
16606766 0.6327 1.801023
16606815 0.6375 1.801054
16608749 7.824 1.802287
16609584 7.82 1.80882
16613057 0.6234 1.835979
16613859 0.6159 1.836479
16615817 0.5987 1.837685
16615974 0.587 1.837779
16616526 0.5269 1.838103
16618217 0.3892 1.838994
16619607 0.372 1.839535
16620021 0.3383 1.839689
16621097 0.3031 1.840053
16621714 0.2658 1.84024
16622188 0.2269 1.840366
16622827 0.2109 1.840511
16624776 0.207 1.840922
16625404 0.2058 1.841052
16626376 0.2031 1.841252
16626440 0.1583 1.841265
16627729 0.1563 1.841469
16628260 0.1054 1.841552
16631390 0.08065 1.841882
16631452 0.04857 1.841887
16635343 0.04829 1.842076
16640996 0.04837 1.842349
16642588 0.04825 1.842426
16643417 0.04834 1.842466
16649519 0.04805 1.842761
16651600 0.04846 1.842861
16655768 0.04827 1.843063
16658337 0.04774 1.843187
16659133 0.04912 1.843225
16659703 0.04834 1.843253
16668143 0.1423 1.843661
16668410 0.276 1.843699
16671721 0.2992 1.844613
16674094 1.125 1.845323
16674102 1.706 1.845332
16674493 1.799 1.845999
16678780 1.799 1.853712
16680396 2.057 1.856619
16683482 2.085 1.862966
16683588 2.119 1.863187
16683883 5.102 1.863812
16688632 3.646 1.888043
16690487 3.435 1.894807
16693023 3.058 1.903517
16694398 3.055 1.907722
16696185 3.481 1.913181
16696580 3.59 1.914556
16696904 3.589 1.915719
16697016 3.587 1.916121
16697125 3.596 1.916512
16697323 3.765 1.917224
16697340 3.882 1.917288
16697442 4.299 1.917684
16697696 5.091 1.918776
16699620 7.248 1.928572
16702213 4.446 1.947367
16705838 4.443 1.963484
16706386 4.439 1.965919
16706687 4.437 1.967255
16706799 2.8 1.967752
16706829 1.056 1.967836
16707168 0.7095 1.968194
16708242 0.7097 1.968956
16708304 0.6908 1.969
16708828 0.6921 1.969362
16709221 0.6871 1.969634
16709793 1.917 1.970027
16709829 4.091 1.970096
16709840 4.079 1.970141
16711253 4.202 1.975905
16714378 0.7226 1.989036
16714789 0.4415 1.989333
16714977 0.5173 1.989416
16715410 0.3621 1.98964
16718108 0.3615 1.990617
16719707 0.3611 1.991195
16721712 0.2156 1.991919
16722213 0.1322 1.992027
16725140 0.133 1.992414
16725606 0.1347 1.992476
16729428 0.1387 1.992991
16730185 0.1429 1.993096
16730451 0.1414 1.993134
16730550 0.1445 1.993148
16731083 0.15 1.993225
16731223 0.1523 1.993246
16731663 0.1572 1.993313
16732102 0.1634 1.993382
16732408 0.1688 1.993432
16733362 0.1751 1.993593
16733779 0.1759 1.993666
16734842 0.1764 1.993853
16736004 0.1824 1.994058
16736311 0.1864 1.994114
16738360 0.1981 1.994496
16738466 0.197 1.994517
16738735 0.2074 1.99457
16739111 0.2155 1.994648
16740605 0.2997 1.99497
16740922 0.665 1.995065
16741895 0.6497 1.995712
16742072 0.6 1.995827
16742672 0.4069 1.996187
16743048 0.3689 1.99634
16744284 0.3684 1.996796
16744303 0.4127 1.996803
16744429 0.4659 1.996855
16744517 0.5779 1.996896
16744825 1.005 1.997074
16745013 1.085 1.997263
16745060 1.223 1.997314
16746513 1.224 1.999091
16746571 1.209 1.999162
16746710 1.203 1.99933
16747906 1.229 2.000769
16749078 1.283 2.002209
16750243 2.976 2.003704
16750622 4.978 2.004832
16750713 7.629 2.005285
16750829 8.314 2.00617
16753607 0.5714 2.029267
