position COMBINED_rate(cM/Mb) Genetic_Map(cM)
10326676 0 0.584144
12968320 0.6288 0.584144
12970435 0.6113 0.585474
12977762 0.6144 0.589953
12983047 0.6176 0.5932
12985513 0.6709 0.594723
12987409 0.7155 0.595995
12988569 0.7159 0.596825
12988657 0.7186 0.596888
12990722 0.7201 0.598372
12996886 0.7251 0.602811
13005105 0.7269 0.608771
13008053 0.7273 0.610914
13008350 0.7268 0.61113
13010184 0.7272 0.612463
13036261 0.7296 0.631425
13042551 0.733 0.636014
13053221 0.8141 0.643835
13054700 0.8942 0.645039
13073695 0.9412 0.662025
13099938 2.409 0.686725
13110005 2.43 0.710975
13139827 0.8214 0.783433
13213132 0.8317 0.843648
13222943 1.477 0.851808
13224688 1.489 0.854385
13227809 1.519 0.859031
13229094 1.518 0.860983
13231256 0.7538 0.864264
13232040 0.07092 0.864855
13234719 0.07058 0.865045
13240712 0.08824 0.865468
13240882 0.08635 0.865483
13241380 0.1062 0.865526
13241672 0.1091 0.865557
13255384 0.03399 0.867053
13258267 0.01907 0.867151
13258634 0.009375 0.867158
13259274 0.00328 0.867164
13261103 0.002872 0.86717
13264585 0.002862 0.86718
13268079 0.002422 0.86719
13270143 0.002935 0.867195
13274232 0.003084 0.867207
13275529 0.003257 0.867211
13275836 0.003047 0.867212
13277477 0.00418 0.867217
13280587 0.008324 0.86723
13283230 0.2167 0.867252
13284448 0.02669 0.867516
13286509 0.02688 0.867571
13289671 0.2058 0.867656
13292630 0.1996 0.868265
13293652 0.555 0.868469
13293843 0.5185 0.868575
13294763 0.09203 0.869052
13297610 0.09326 0.869314
13297803 0.09231 0.869332
13297868 0.09248 0.869338
13298852 0.09189 0.869429
13301529 0.09215 0.869675
13304980 0.09434 0.869993
13305033 0.08947 0.869998
13308956 0.08845 0.870349
13313275 0.09524 0.870731
13313842 0.09717 0.870785
13314336 0.09519 0.870833
13315250 0.1364 0.87092
13316504 0.2172 0.871091
13319046 0.164 0.871643
13319991 0.1553 0.871798
13320912 0.1757 0.871941
13321060 0.1908 0.871967
13327484 0.5926 0.873193
13327565 0.6695 0.873241
13339843 0.6717 0.881461
13342566 0.4985 0.88329
13342905 0.4568 0.883459
13345210 0.3561 0.884512
13353062 0.08709 0.887308
13362765 0.07921 0.888153
13363169 0.06921 0.888185
13364137 0.06786 0.888252
13367143 0.06779 0.888456
13370521 0.06737 0.888685
13370996 0.06722 0.888717
13371725 0.06845 0.888766
13372587 0.06769 0.888825
13377078 0.06838 0.889129
13377546 0.06768 0.889161
13382924 0.0672 0.889525
13384040 0.06984 0.8896
13384355 0.06734 0.889622
13384652 0.07143 0.889642
13384722 0.06771 0.889647
13386583 0.06758 0.889773
13389646 0.06799 0.88998
13390602 0.06768 0.890045
13394104 0.0799 0.890282
13394880 0.4694 0.890344
13396022 0.2091 0.89088
13396725 0.1226 0.891027
13397141 0.1184 0.891078
13398856 0.1183 0.891281
13399490 0.1189 0.891356
13400911 0.1197 0.891525
13401195 0.1197 0.891559
13403408 0.1197 0.891824
13407058 0.1275 0.892261
13408015 0.1604 0.892383
13409611 0.1481 0.892639
13409638 0.1647 0.892643
13411277 0.1732 0.892913
13411964 0.1673 0.893032
13413297 0.1436 0.893255
13413478 0.1207 0.893281
13414091 0.1132 0.893355
13418100 0.1154 0.893809
13418412 0.1126 0.893845
13421184 0.1127 0.894157
13423154 0.1127 0.894379
13423802 0.1152 0.894452
13424314 0.1187 0.894511
13425696 0.1364 0.894675
13425916 0.1353 0.894705
13428532 0.1765 0.895059
13428821 0.1779 0.89511
13430429 0.1878 0.895396
13430807 0.1874 0.895467
13434815 0.189 0.896218
13436572 0.1897 0.89655
13437721 0.189 0.896768
13440234 0.4046 0.897243
13440669 0.4334 0.897419
13441052 0.3188 0.897585
13441328 0.1792 0.897673
13443583 0.1748 0.898077
13445465 0.167 0.898406
13447387 0.1657 0.898727
13448087 0.1616 0.898843
13448681 0.1619 0.898939
13450021 0.1601 0.899156
