position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18447081 6.016 0.0
18447511 6.03 0.002587
18448253 2.355 0.007061
18456515 1.553 0.02652
18457168 1.553 0.027534
18460072 0.4252 0.032044
18471486 0.5514 0.036897
18472565 0.5599 0.037492
18478954 0.5863 0.041069
18484577 0.6166 0.044366
18488179 0.6436 0.046587
18499186 0.6432 0.053671
18500097 0.6717 0.054257
18579831 0.7117 0.107814
18585853 1.132 0.1121
18589694 1.35 0.116449
18589797 1.547 0.116588
18590104 1.587 0.117063
18605040 1.586 0.140759
18625114 1.586 0.172605
18625172 1.588 0.172697
18625252 1.582 0.172824
18630703 1.583 0.181446
18636286 1.583 0.190282
18638122 1.581 0.193189
18639738 1.547 0.195744
18640113 1.546 0.196324
18641297 1.532 0.198155
18641534 1.521 0.198518
18641977 0.8309 0.199192
18643591 0.7426 0.200533
18645487 0.2155 0.201941
18647069 0.2134 0.202282
18648681 0.2097 0.202626
18649053 0.2118 0.202704
18653802 0.2118 0.20371
18656899 0.2194 0.204366
18659862 0.6899 0.205016
18660607 0.7818 0.20553
18661276 0.8275 0.206053
18662806 0.8282 0.207319
18666635 0.8268 0.21049
18670677 0.827 0.213832
18679259 0.8289 0.220929
18680551 0.848 0.222
18680722 0.8889 0.222145
18680776 0.9118 0.222193
18681082 0.9131 0.222472
18681715 1.015 0.22305
18682051 1.102 0.223391
18683428 1.639 0.224909
18685799 1.647 0.228795
18686425 1.655 0.229826
18686680 1.666 0.230248
18689595 4.022 0.235103
18690687 3.79 0.239495
18691666 3.778 0.243205
18693149 3.827 0.248808
18696632 3.896 0.262138
18697536 3.664 0.26566
18698232 2.094 0.26821
18699111 1.662 0.270051
18701594 0.1504 0.274178
18701860 0.1354 0.274218
18702207 0.1301 0.274265
18702330 0.1128 0.274281
18702720 0.112 0.274325
18703908 0.1115 0.274458
18704670 0.111 0.274543
18706400 0.1117 0.274735
18708029 0.1119 0.274917
18708860 0.1115 0.27501
18712716 0.1116 0.27544
18713639 0.1126 0.275543
18718301 0.123 0.276068
18718618 0.1335 0.276107
18719165 0.1489 0.27618
18720636 0.174 0.276399
18727026 0.2123 0.277511
18727384 0.2519 0.277587
18728829 0.2857 0.277951
18729011 0.3112 0.278003
18729342 0.3333 0.278106
18729540 0.3501 0.278172
18730494 0.3518 0.278506
18732046 0.3609 0.279052
18732384 0.3662 0.279174
18733176 0.3702 0.279464
18734035 0.3813 0.279782
18734174 0.3929 0.279835
18735434 0.3924 0.28033
18735880 0.3978 0.280505
18736066 0.4029 0.280579
